Arbrook,Material Switch Time,BGFX,Material Switch Time,Native,Material Switch Time,
 ,0.0017, ,1e-04, ,0.1092,
 ,0.0019, ,0, ,0.1008,
 ,0.0019, ,1e-04, ,0.1024,
 ,0.0019, ,1e-04, ,0.1015,
 ,0.0016, ,1e-04, ,0.0993,
 ,0.0017, ,1e-04, ,0.0996,
 ,0.002, ,1e-04, ,0.1029,
 ,0.0017, ,1e-04, ,0.1131,
 ,0.0018, ,1e-04, ,0.101,
 ,0.0018, ,1e-04, ,0.099,
 ,0.0025, ,1e-04, ,0.1088,
 ,0.0017, ,1e-04, ,0.1099,
 ,0.0018, ,1e-04, ,0.1152,
 ,0.0018, ,1e-04, ,0.101,
 ,0.002, ,1e-04, ,0.1083,
 ,0.0019, ,1e-04, ,0.1104,
 ,0.0018, ,1e-04, ,0.101,
 ,0.0018, ,1e-04, ,0.1221,
 ,0.0019, ,1e-04, ,0.1118,
 ,0.0019, ,2e-04, ,0.0997,
 ,0.0016, ,2e-04, ,0.1018,
 ,0.0018, ,2e-04, ,0.1099,
 ,0.0021, ,2e-04, ,0.1005,
 ,0.0017, ,1e-04, ,0.1109,
 ,0.0017, ,1e-04, ,0.1066,
 ,0.0018, ,1e-04, ,0.1016,
 ,0.0019, ,1e-04, ,0.1146,
 ,0.0016, ,2e-04, ,0.1175,
 ,0.0017, ,2e-04, ,0.1035,
 ,0.0017, ,2e-04, ,0.1114,
 ,0.002, ,1e-04, ,0.1097,
 ,0.0018, ,2e-04, ,0.0995,
 ,0.0018, ,1e-04, ,0.0999,
 ,0.0017, ,1e-04, ,0.0994,
 ,0.0019, ,1e-04, ,0.1081,
 ,0.0018, ,1e-04, ,0.1006,
 ,0.0017, ,1e-04, ,0.101,
 ,0.0018, ,1e-04, ,0.1171,
 ,0.0021, ,1e-04, ,0.1093,
 ,0.0017, ,2e-04, ,0.1072,
 ,0.0018, ,1e-04, ,0.0998,
 ,0.0017, ,2e-04, ,0.1086,
 ,0.002, ,1e-04, ,0.1013,
 ,0.0017, ,1e-04, ,0.1114,
 ,0.0017, ,1e-04, ,0.1017,
 ,0.0018, ,1e-04, ,0.1015,
 ,0.0021, ,1e-04, ,0.1072,
 ,0.0017, ,1e-04, ,0.1032,
 ,0.0018, ,1e-04, ,0.1001,
 ,0.0018, ,1e-04, ,0.0994,
 ,0.0021, ,1e-04, ,0.1069,
 ,0.0016, ,1e-04, ,0.115,
 ,0.0017, ,1e-04, ,0.1025,
 ,0.0018, ,1e-04, ,0.1008,
 ,0.0021, ,1e-04, ,0.1018,
 ,0.0018, ,1e-04, ,0.1121,
 ,0.0016, ,1e-04, ,0.1016,
 ,0.0016, ,1e-04, ,0.0989,
 ,0.0021, ,1e-04, ,0.1089,
 ,0.0018, ,1e-04, ,0.1011,
 ,0.0018, ,1e-04, ,0.1101,
 ,0.0018, ,1e-04, ,0.1183,
 ,0.0021, ,1e-04, ,0.1092,
 ,0.0017, ,1e-04, ,0.1006,
 ,0.0017, ,1e-04, ,0.1016,
 ,0.0016, ,1e-04, ,0.1079,
 ,0.0019, ,1e-04, ,0.1027,
 ,0.0021, ,1e-04, ,0.1004,
 ,0.0016, ,1e-04, ,0.0998,
 ,0.0018, ,1e-04, ,0.0988,
 ,0.002, ,1e-04, ,0.1014,
 ,0.0018, ,1e-04, ,0.103,
 ,0.0019, ,1e-04, ,0.1001,
 ,0.0019, ,1e-04, ,0.1005,
 ,0.0028, ,1e-04, ,0.1017,
 ,0.0018, ,2e-04, ,0.1098,
 ,0.0017, ,2e-04, ,0.1162,
 ,0.0019, ,1e-04, ,0.1022,
 ,0.0021, ,2e-04, ,0.1089,
 ,0.0018, ,1e-04, ,0.109,
 ,0.0017, ,1e-04, ,0.0986,
 ,0.0018, ,1e-04, ,0.0987,
 ,0.0025, ,1e-04, ,0.1022,
 ,0.0018, ,1e-04, ,0.1019,
 ,0.0018, ,1e-04, ,0.1123,
 ,0.0019, ,1e-04, ,0.1001,
 ,0.0021, ,1e-04, ,0.1015,
 ,0.0019, ,1e-04, ,0.0998,
 ,0.0017, ,1e-04, ,0.1133,
 ,0.0019, ,1e-04, ,0.1023,
 ,0.0018, ,1e-04, ,0.1032,
 ,0.0017, ,1e-04, ,0.1109,
 ,0.0018, ,1e-04, ,0.1063,
 ,0.0018, ,1e-04, ,0.1048,
 ,0.0021, ,1e-04, ,0.1042,
 ,0.0017, ,1e-04, ,0.1032,
 ,0.0019, ,1e-04, ,0.1178,
 ,0.002, ,1e-04, ,0.1157,
 ,0.0019, ,1e-04, ,0.1101,
 ,0.0017, ,1e-04, ,0.1014,
 ,0.0016, ,1e-04, ,0.1102,
 ,0.0018, ,1e-04, ,0.099,
 ,0.0021, ,1e-04, ,0.1019,
 ,0.0017, ,1e-04, ,0.103,
 ,0.0017, ,2e-04, ,0.1025,
 ,0.0018, ,1e-04, ,0.101,
 ,0.0019, ,2e-04, ,0.114,
 ,0.0018, ,1e-04, ,0.1129,
 ,0.0017, ,1e-04, ,0.1091,
 ,0.0017, ,1e-04, ,0.0983,
 ,0.0021, ,1e-04, ,0.1086,
 ,0.0018, ,1e-04, ,0.0989,
 ,0.0016, ,1e-04, ,0.1509,
 ,0.0016, ,1e-04, ,0.1132,
 ,0.0021, ,1e-04, ,0.1119,
 ,0.0017, ,1e-04, ,0.1175,
 ,0.0017, ,0, ,0.0999,
 ,0.0016, ,1e-04, ,0.0975,
 ,0.002, ,1e-04, ,0.1094,
 ,0.0018, ,1e-04, ,0.1174,
 ,0.0017, ,1e-04, ,0.1131,
 ,0.0018, ,1e-04, ,0.1149,
 ,0.0018, ,1e-04, ,0.1149,
 ,0.0016, ,1e-04, ,0.1149,
 ,0.0018, ,1e-04, ,0.1086,
 ,0.0017, ,1e-04, ,0.101,
 ,0.0021, ,1e-04, ,0.1006,
 ,0.0017, ,1e-04, ,0.1035,
 ,0.0017, ,1e-04, ,0.0992,
 ,0.0017, ,1e-04, ,0.0995,
 ,0.0017, ,1e-04, ,0.1032,
 ,0.0016, ,1e-04, ,0.1007,
 ,0.0017, ,1e-04, ,0.1006,
 ,0.0017, ,1e-04, ,0.0984,
 ,0.002, ,1e-04, ,0.1089,
 ,0.0017, ,1e-04, ,0.1027,
 ,0.0016, ,1e-04, ,0.0999,
 ,0.0017, ,1e-04, ,0.1105,
 ,0.0019, ,1e-04, ,0.1101,
 ,0.0016, ,1e-04, ,0.111,
 ,0.0015, ,1e-04, ,0.0983,
 ,0.0019, ,1e-04, ,0.1084,
 ,0.0021, ,1e-04, ,0.1078,
 ,0.0018, ,1e-04, ,0.1013,
 ,0.0019, ,1e-04, ,0.1,
 ,0.0017, ,1e-04, ,0.0988,
 ,0.0021, ,0, ,0.1028,
 ,0.0017, ,1e-04, ,0.1009,
 ,0.0018, ,1e-04, ,0.1003,
 ,0.0016, ,1e-04, ,0.1008,
 ,0.002, ,1e-04, ,0.1033,
 ,0.0017, ,1e-04, ,0.1022,
 ,0.0017, ,1e-04, ,0.0998,
 ,0.0018, ,1e-04, ,0.1087,
 ,0.002, ,1e-04, ,0.1068,
 ,0.0016, ,1e-04, ,0.1001,
 ,0.0018, ,1e-04, ,0.1079,
 ,0.0019, ,0, ,0.0989,
 ,0.0021, ,1e-04, ,0.1109,
 ,0.0015, ,1e-04, ,0.1076,
 ,0.0017, ,1e-04, ,0.1024,
 ,0.0017, ,1e-04, ,0.112,
 ,0.002, ,1e-04, ,0.1149,
 ,0.0016, ,1e-04, ,0.1005,
 ,0.0018, ,1e-04, ,0.0992,
 ,0.0018, ,1e-04, ,0.1023,
 ,0.002, ,1e-04, ,0.111,
 ,0.0017, ,2e-04, ,0.0999,
 ,0.0018, ,1e-04, ,0.0998,
 ,0.0017, ,1e-04, ,0.1001,
 ,0.0021, ,1e-04, ,0.1016,
 ,0.0016, ,0, ,0.1114,
 ,0.0016, ,1e-04, ,0.1167,
 ,0.0017, ,1e-04, ,0.1116,
 ,0.002, ,1e-04, ,0.1087,
 ,0.0016, ,1e-04, ,0.1007,
 ,0.0016, ,1e-04, ,0.1173,
 ,0.0017, ,1e-04, ,0.1128,
 ,0.0018, ,1e-04, ,0.1005,
 ,0.0017, ,1e-04, ,0.0992,
 ,0.0017, ,1e-04, ,0.1001,
 ,0.0017, ,0, ,0.0987,
 ,0.002, ,1e-04, ,0.109,
 ,0.0016, ,1e-04, ,0.1012,
 ,0.0017, ,1e-04, ,0.0984,
 ,0.0018, ,1e-04, ,0.1002,
 ,0.0018, ,1e-04, ,0.1095,
 ,0.0018, ,1e-04, ,0.0992,
 ,0.0016, ,1e-04, ,0.1002,
 ,0.0016, ,1e-04, ,0.0991,
 ,0.002, ,1e-04, ,0.117,
 ,0.0016, ,0, ,0.0988,
 ,0.0016, ,1e-04, ,0.0977,
 ,0.0019, ,1e-04, ,0.1001,
 ,0.0021, ,1e-04, ,0.1013,
 ,0.0016, ,2e-04, ,0.1092,
 ,0.0017, ,1e-04, ,0.1,
 ,0.0018, ,1e-04, ,0.1048,
 ,0.0021, ,1e-04, ,0.1007,
 ,0.0017, ,1e-04, ,0.1121,
 ,0.0017, ,1e-04, ,0.113,
 ,0.0018, ,1e-04, ,0.0993,
 ,0.0018, ,1e-04, ,0.1151,
 ,0.0016, ,1e-04, ,0.1118,
 ,0.0017, ,0, ,0.11,
 ,0.0018, ,1e-04, ,0.097,
 ,0.002, ,1e-04, ,0.1154,
 ,0.0017, ,1e-04, ,0.103,
 ,0.0022, ,1e-04, ,0.1004,
 ,0.0019, ,1e-04, ,0.0971,
 ,0.0025, ,1e-04, ,0.0996,
 ,0.0019, ,1e-04, ,0.1006,
 ,0.0017, ,1e-04, ,0.1071,
 ,0.0018, ,1e-04, ,0.0983,
 ,0.0021, ,1e-04, ,0.1117,
 ,0.0018, ,1e-04, ,0.0991,
 ,0.0017, ,0, ,0.0994,
 ,0.0019, ,1e-04, ,0.1001,
 ,0.0021, ,1e-04, ,0.1197,
 ,0.0018, ,1e-04, ,0.1166,
 ,0.0018, ,0, ,0.1006,
 ,0.0018, ,1e-04, ,0.1003,
 ,0.0023, ,0, ,0.1099,
 ,0.0016, ,1e-04, ,0.1006,
 ,0.0018, ,1e-04, ,0.1184,
 ,0.0017, ,1e-04, ,0.1068,
 ,0.0021, ,1e-04, ,0.1098,
 ,0.0017, ,1e-04, ,0.1034,
 ,0.0017, ,1e-04, ,0.1032,
 ,0.0019, ,1e-04, ,0.1101,
 ,0.002, ,1e-04, ,0.1023,
 ,0.0017, ,0, ,0.1109,
 ,0.0019, ,1e-04, ,0.1094,
 ,0.0016, ,1e-04, ,0.1036,
 ,0.0021, ,2e-04, ,0.1043,
 ,0.0017, ,1e-04, ,0.0993,
 ,0.0016, ,1e-04, ,0.1088,
 ,0.0018, ,1e-04, ,0.1014,
 ,0.0021, ,1e-04, ,0.1006,
 ,0.0016, ,1e-04, ,0.0997,
 ,0.0018, ,1e-04, ,0.1004,
 ,0.0017, ,1e-04, ,0.1071,
 ,0.0021, ,1e-04, ,0.1014,
 ,0.0017, ,1e-04, ,0.1032,
 ,0.0017, ,1e-04, ,0.1001,
 ,0.0018, ,1e-04, ,0.0998,
 ,0.002, ,1e-04, ,0.1026,
 ,0.0016, ,1e-04, ,0.1065,
 ,0.0018, ,1e-04, ,0.0996,
 ,0.0017, ,1e-04, ,0.0977,
 ,0.002, ,1e-04, ,0.1097,
 ,0.0017, ,2e-04, ,0.0992,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0018, ,1e-04, ,0.1006,
 ,0.002, ,1e-04, ,0.0985,
 ,0.0017, ,1e-04, ,0.1006,
 ,0.0019, ,1e-04, ,0.1002,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0021, ,1e-04, ,0.117,
 ,0.0016, ,1e-04, ,0.1078,
 ,0.0017, ,1e-04, ,0.0992,
 ,0.0018, ,1e-04, ,0.0997,
 ,0.0021, ,2e-04, ,0.1088,
 ,0.0016, ,1e-04, ,0.1,
 ,0.0017, ,1e-04, ,0.1019,
 ,0.0016, ,1e-04, ,0.1003,
 ,0.0018, ,1e-04, ,0.1032,
 ,0.0018, ,1e-04, ,0.1001,
 ,0.0017, ,1e-04, ,0.0989,
 ,0.0018, ,1e-04, ,0.1002,
 ,0.0021, ,1e-04, ,0.1092,
 ,0.0017, ,1e-04, ,0.1019,
 ,0.0018, ,1e-04, ,0.1007,
 ,0.0017, ,1e-04, ,0.0959,
 ,0.0019, ,1e-04, ,0.1043,
 ,0.0018, ,1e-04, ,0.1001,
 ,0.0018, ,1e-04, ,0.1095,
 ,0.0017, ,1e-04, ,0.0997,
 ,0.0021, ,1e-04, ,0.1014,
 ,0.0018, ,1e-04, ,0.0991,
 ,0.0019, ,1e-04, ,0.1095,
 ,0.0018, ,1e-04, ,0.0978,
 ,0.0021, ,1e-04, ,0.1026,
 ,0.0018, ,1e-04, ,0.1007,
 ,0.0018, ,1e-04, ,0.1073,
 ,0.0018, ,1e-04, ,0.0993,
 ,0.0021, ,1e-04, ,0.103,
 ,0.0017, ,1e-04, ,0.1207,
 ,0.0018, ,1e-04, ,0.1128,
 ,0.0018, ,1e-04, ,0.1036,
 ,0.0021, ,1e-04, ,0.1119,
 ,0.0021, ,1e-04, ,0.1092,
 ,0.0017, ,1e-04, ,0.1021,
 ,0.0017, ,1e-04, ,0.1029,
 ,0.0021, ,1e-04, ,0.1036,
 ,0.0017, ,1e-04, ,0.1155,
 ,0.0018, ,1e-04, ,0.1085,
 ,0.0017, ,1e-04, ,0.1024,
 ,0.0018, ,1e-04, ,0.1033,
 ,0.0018, ,1e-04, ,0.1017,
 ,0.0016, ,1e-04, ,0.0998,
 ,0.0017, ,1e-04, ,0.0997,
 ,0.0021, ,1e-04, ,0.1035,
 ,0.0018, ,2e-04, ,0.1004,
 ,0.0016, ,1e-04, ,0.0972,
 ,0.0019, ,1e-04, ,0.1061,
 ,0.0018, ,1e-04, ,0.1023,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0017, ,1e-04, ,0.0976,
 ,0.0018, ,1e-04, ,0.0984,
 ,0.002, ,1e-04, ,0.1346,
 ,0.0016, ,1e-04, ,0.1058,
 ,0.0016, ,1e-04, ,0.1016,
 ,0.0018, ,1e-04, ,0.0993,
 ,0.0018, ,1e-04, ,0.1034,
 ,0.0016, ,1e-04, ,0.1021,
 ,0.0017, ,1e-04, ,0.1016,
 ,0.0017, ,0, ,0.1061,
 ,0.0025, ,1e-04, ,0.1039,
 ,0.0022, ,1e-04, ,0.1098,
 ,0.0018, ,1e-04, ,0.102,
 ,0.0018, ,1e-04, ,0.0977,
 ,0.002, ,1e-04, ,0.1114,
 ,0.0017, ,1e-04, ,0.0992,
 ,0.0018, ,1e-04, ,0.1003,
 ,0.0018, ,1e-04, ,0.0992,
 ,0.0021, ,1e-04, ,0.1147,
 ,0.0017, ,1e-04, ,0.0987,
 ,0.0016, ,0, ,0.0986,
 ,0.0017, ,2e-04, ,0.1148,
 ,0.002, ,1e-04, ,0.1102,
 ,0.0016, ,1e-04, ,0.0994,
 ,0.0018, ,1e-04, ,0.0993,
 ,0.0017, ,1e-04, ,0.1121,
 ,0.0021, ,1e-04, ,0.1004,
 ,0.0017, ,1e-04, ,0.0974,
 ,0.0016, ,1e-04, ,0.1002,
 ,0.0017, ,1e-04, ,0.1,
 ,0.0021, ,1e-04, ,0.1162,
 ,0.0016, ,1e-04, ,0.1177,
 ,0.0022, ,1e-04, ,0.1152,
 ,0.0018, ,1e-04, ,0.1132,
 ,0.0021, ,1e-04, ,0.1095,
 ,0.0017, ,0, ,0.1021,
 ,0.0018, ,1e-04, ,0.1015,
 ,0.0018, ,1e-04, ,0.0999,
 ,0.0021, ,1e-04, ,0.1159,
 ,0.0018, ,1e-04, ,0.1013,
 ,0.0017, ,1e-04, ,0.1006,
 ,0.0017, ,2e-04, ,0.1162,
 ,0.002, ,1e-04, ,0.116,
 ,0.0018, ,1e-04, ,0.1,
 ,0.0017, ,1e-04, ,0.1103,
 ,0.0018, ,1e-04, ,0.0993,
 ,0.002, ,1e-04, ,0.1068,
 ,0.0016, ,1e-04, ,0.1093,
 ,0.0018, ,1e-04, ,0.1105,
 ,0.0017, ,1e-04, ,0.1005,
 ,0.0025, ,1e-04, ,0.1163,
 ,0.0017, ,1e-04, ,0.097,
 ,0.0018, ,1e-04, ,0.1156,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0021, ,1e-04, ,0.1094,
 ,0.0016, ,1e-04, ,0.1008,
 ,0.0018, ,0, ,0.1065,
 ,0.0018, ,1e-04, ,0.1128,
 ,0.002, ,1e-04, ,0.1004,
 ,0.0015, ,1e-04, ,0.1162,
 ,0.0017, ,1e-04, ,0.0993,
 ,0.0018, ,1e-04, ,0.1043,
 ,0.0019, ,1e-04, ,0.1172,
 ,0.0016, ,1e-04, ,0.0997,
 ,0.0017, ,1e-04, ,0.1001,
 ,0.0018, ,1e-04, ,0.1027,
 ,0.0021, ,1e-04, ,0.1162,
 ,0.0017, ,1e-04, ,0.1177,
 ,0.0018, ,1e-04, ,0.1183,
 ,0.0017, ,1e-04, ,0.1164,
 ,0.0021, ,1e-04, ,0.1024,
 ,0.0018, ,1e-04, ,0.1046,
 ,0.0018, ,1e-04, ,0.1,
 ,0.0019, ,1e-04, ,0.0994,
 ,0.0021, ,1e-04, ,0.1015,
 ,0.0017, ,1e-04, ,0.1018,
 ,0.0018, ,1e-04, ,0.1009,
 ,0.0018, ,1e-04, ,0.1007,
 ,0.0018, ,1e-04, ,0.1086,
 ,0.0017, ,1e-04, ,0.1109,
 ,0.0017, ,1e-04, ,0.1041,
 ,0.0016, ,1e-04, ,0.1003,
 ,0.0021, ,1e-04, ,0.1131,
 ,0.0016, ,2e-04, ,0.0991,
 ,0.0017, ,1e-04, ,0.0996,
 ,0.0017, ,1e-04, ,0.1165,
 ,0.002, ,1e-04, ,0.1015,
 ,0.0017, ,1e-04, ,0.0991,
 ,0.0016, ,1e-04, ,0.1098,
 ,0.0017, ,1e-04, ,0.1105,
 ,0.0021, ,1e-04, ,0.1005,
 ,0.0018, ,1e-04, ,0.1048,
 ,0.0018, ,1e-04, ,0.1034,
 ,0.0017, ,1e-04, ,0.0979,
 ,0.0019, ,1e-04, ,0.1006,
 ,0.0018, ,1e-04, ,0.1122,
 ,0.0017, ,1e-04, ,0.1002,
 ,0.0018, ,1e-04, ,0.1075,
 ,0.0026, ,1e-04, ,0.1013,
 ,0.0017, ,1e-04, ,0.1029,
 ,0.0017, ,1e-04, ,0.0991,
 ,0.0018, ,1e-04, ,0.1004,
 ,0.0019, ,1e-04, ,0.1085,
 ,0.0018, ,1e-04, ,0.1003,
 ,0.0017, ,1e-04, ,0.0999,
 ,0.0017, ,1e-04, ,0.0971,
 ,0.002, ,1e-04, ,0.1079,
 ,0.0018, ,1e-04, ,0.1007,
 ,0.0016, ,1e-04, ,0.099,
 ,0.0018, ,1e-04, ,0.1083,
 ,0.0021, ,1e-04, ,0.1077,
 ,0.0019, ,1e-04, ,0.1079,
 ,0.0018, ,1e-04, ,0.1007,
 ,0.0019, ,1e-04, ,0.1118,
 ,0.002, ,0, ,0.1382,
 ,0.0018, ,1e-04, ,0.1094,
 ,0.0017, ,1e-04, ,0.1043,
 ,0.0018, ,1e-04, ,0.1232,
 ,0.0021, ,1e-04, ,0.1158,
 ,0.0022, ,1e-04, ,0.1185,
 ,0.0021, ,1e-04, ,0.1096,
 ,0.0019, ,1e-04, ,0.0998,
 ,0.0026, ,1e-04, ,0.116,
 ,0.0016, ,1e-04, ,0.1137,
 ,0.0018, ,1e-04, ,0.1111,
 ,0.0019, ,1e-04, ,0.1041,
 ,0.0021, ,1e-04, ,0.1057,
 ,0.0017, ,1e-04, ,0.1159,
 ,0.0017, ,1e-04, ,0.0999,
 ,0.0017, ,2e-04, ,0.1023,
 ,0.0021, ,1e-04, ,0.1021,
 ,0.0016, ,1e-04, ,0.1016,
 ,0.0018, ,1e-04, ,0.1028,
 ,0.0015, ,2e-04, ,0.1046,
 ,0.0019, ,1e-04, ,0.1001,
 ,0.0016, ,1e-04, ,0.1035,
 ,0.0017, ,1e-04, ,0.1033,
 ,0.0016, ,1e-04, ,0.0972,
 ,0.0021, ,1e-04, ,0.1017,
 ,0.0018, ,1e-04, ,0.1082,
 ,0.0019, ,1e-04, ,0.1105,
 ,0.0017, ,1e-04, ,0.1026,
 ,0.0026, ,1e-04, ,0.1049,
 ,0.002, ,1e-04, ,0.1103,
 ,0.0018, ,0, ,0.0986,
 ,0.0019, ,1e-04, ,0.1001,
 ,0.0021, ,1e-04, ,0.1016,
 ,0.0017, ,1e-04, ,0.1134,
 ,0.0018, ,1e-04, ,0.1008,
 ,0.0018, ,2e-04, ,0.1085,
 ,0.0018, ,2e-04, ,0.1071,
 ,0.0017, ,1e-04, ,0.1108,
 ,0.0016, ,1e-04, ,0.0995,
 ,0.0018, ,1e-04, ,0.1139,
 ,0.0021, ,1e-04, ,0.1015,
 ,0.0017, ,1e-04, ,0.102,
 ,0.0017, ,1e-04, ,0.1009,
 ,0.0019, ,1e-04, ,0.1004,
 ,0.0021, ,1e-04, ,0.1006,
 ,0.0018, ,1e-04, ,0.1003,
 ,0.0018, ,1e-04, ,0.111,
 ,0.0017, ,1e-04, ,0.1058,
 ,0.002, ,1e-04, ,0.1088,
 ,0.0017, ,1e-04, ,0.1117,
 ,0.0022, ,1e-04, ,0.108,
 ,0.0018, ,1e-04, ,0.0999,
 ,0.002, ,1e-04, ,0.1072,
 ,0.0017, ,1e-04, ,0.1062,
 ,0.0017, ,1e-04, ,0.1086,
 ,0.0017, ,1e-04, ,0.1019,
 ,0.002, ,1e-04, ,0.1017,
 ,0.0017, ,1e-04, ,0.1013,
 ,0.0017, ,1e-04, ,0.1133,
 ,0.0023, ,1e-04, ,0.1014,
 ,0.0019, ,1e-04, ,0.1021,
 ,0.0018, ,1e-04, ,0.1132,
 ,0.0016, ,1e-04, ,0.1002,
 ,0.0018, ,1e-04, ,0.1017,
 ,0.0021, ,1e-04, ,0.0993,
 ,0.0018, ,1e-04, ,0.0983,
 ,0.0017, ,1e-04, ,0.1064,
 ,0.0018, ,1e-04, ,0.0993,
 ,0.0021, ,1e-04, ,0.1078,
 ,0.0016, ,1e-04, ,0.1115,
 ,0.0016, ,1e-04, ,0.1011,
 ,0.0018, ,1e-04, ,0.1016,
 ,0.002, ,1e-04, ,0.1037,
 ,0.0017, ,1e-04, ,0.1009,
 ,0.0019, ,1e-04, ,0.1195,
 ,0.0019, ,1e-04, ,0.1005,
 ,0.0021, ,1e-04, ,0.1192,
 ,0.0018, ,1e-04, ,0.1093,
 ,0.0016, ,1e-04, ,0.1073,
 ,0.0016, ,1e-04, ,0.1032,
 ,0.0021, ,1e-04, ,0.1015,
 ,0.0017, ,1e-04, ,0.106,
 ,0.0018, ,1e-04, ,0.1137,
 ,0.0019, ,1e-04, ,0.1036,
 ,0.0019, ,1e-04, ,0.1063,
 ,0.0018, ,1e-04, ,0.1031,
 ,0.0016, ,1e-04, ,0.0996,
 ,0.0016, ,1e-04, ,0.0993,
 ,0.002, ,0, ,0.0997,
 ,0.0017, ,1e-04, ,0.1144,
 ,0.002, ,1e-04, ,0.1007,
 ,0.0019, ,1e-04, ,0.0988,
 ,0.0019, ,1e-04, ,0.1087,
 ,0.0017, ,2e-04, ,0.1004,
 ,0.0018, ,1e-04, ,0.0985,
 ,0.0017, ,1e-04, ,0.1012,
 ,0.0021, ,1e-04, ,0.1044,
 ,0.0016, ,1e-04, ,0.1026,
 ,0.0017, ,1e-04, ,0.1138,
 ,0.0018, ,1e-04, ,0.1129,
 ,0.0021, ,1e-04, ,0.1019,
 ,0.0018, ,1e-04, ,0.1008,
 ,0.0017, ,1e-04, ,0.1001,
 ,0.0018, ,1e-04, ,0.1007,
 ,0.002, ,1e-04, ,0.1046,
 ,0.0017, ,1e-04, ,0.1088,
 ,0.0018, ,1e-04, ,0.0982,
 ,0.0017, ,1e-04, ,0.0991,
 ,0.0018, ,1e-04, ,0.1021,
 ,0.0016, ,1e-04, ,0.1109,
 ,0.0017, ,1e-04, ,0.0997,
 ,0.0018, ,1e-04, ,0.0987,
 ,0.0021, ,1e-04, ,0.1068,
 ,0.0018, ,1e-04, ,0.0993,
 ,0.0016, ,1e-04, ,0.1067,
 ,0.0017, ,1e-04, ,0.1001,
 ,0.0022, ,1e-04, ,0.107,
 ,0.0017, ,1e-04, ,0.1085,
 ,0.0021, ,1e-04, ,0.1075,
 ,0.0024, ,1e-04, ,0.1106,
 ,0.0022, ,1e-04, ,0.1027,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0022, ,1e-04, ,0.0997,
 ,0.0019, ,1e-04, ,0.0996,
 ,0.0025, ,1e-04, ,0.1063,
 ,0.0026, ,1e-04, ,0.1069,
 ,0.0017, ,1e-04, ,0.1108,
 ,0.0024, ,1e-04, ,0.0993,
 ,0.0022, ,0, ,0.1017,
 ,0.0022, ,2e-04, ,0.0977,
 ,0.0018, ,1e-04, ,0.1021,
 ,0.0019, ,1e-04, ,0.1006,
 ,0.002, ,1e-04, ,0.0995,
 ,0.0022, ,0, ,0.1066,
 ,0.0018, ,1e-04, ,0.1169,
 ,0.0019, ,1e-04, ,0.0978,
 ,0.002, ,1e-04, ,0.1001,
 ,0.0021, ,0, ,0.1109,
 ,0.0019, ,1e-04, ,0.1174,
 ,0.0018, ,1e-04, ,0.1137,
 ,0.0022, ,1e-04, ,0.1042,
 ,0.0015, ,0, ,0.1055,
 ,0.0016, ,1e-04, ,0.1023,
 ,0.0017, ,2e-04, ,0.102,
 ,0.0021, ,1e-04, ,0.1079,
 ,0.0018, ,1e-04, ,0.1127,
 ,0.0017, ,1e-04, ,0.1102,
 ,0.0017, ,1e-04, ,0.1051,
 ,0.0021, ,2e-04, ,0.1493,
 ,0.0018, ,1e-04, ,0.104,
 ,0.0017, ,1e-04, ,0.1027,
 ,0.0017, ,0, ,0.1129,
 ,0.002, ,1e-04, ,0.1009,
 ,0.0017, ,1e-04, ,0.1027,
 ,0.0017, ,1e-04, ,0.1,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0019, ,1e-04, ,0.1024,
 ,0.0016, ,1e-04, ,0.1111,
 ,0.0018, ,1e-04, ,0.1004,
 ,0.0018, ,1e-04, ,0.1007,
 ,0.002, ,1e-04, ,0.1207,
 ,0.0016, ,1e-04, ,0.1129,
 ,0.0016, ,1e-04, ,0.0977,
 ,0.0017, ,1e-04, ,0.1012,
 ,0.0019, ,1e-04, ,0.1038,
 ,0.0022, ,2e-04, ,0.109,
 ,0.0019, ,1e-04, ,0.1094,
 ,0.0017, ,1e-04, ,0.1177,
 ,0.0021, ,1e-04, ,0.1093,
 ,0.0018, ,1e-04, ,0.101,
 ,0.0022, ,1e-04, ,0.1004,
 ,0.0021, ,1e-04, ,0.1071,
 ,0.002, ,1e-04, ,0.109,
 ,0.002, ,1e-04, ,0.1118,
 ,0.0019, ,1e-04, ,0.1011,
 ,0.0019, ,1e-04, ,0.1005,
 ,0.0022, ,1e-04, ,0.1027,
 ,0.0016, ,1e-04, ,0.0992,
 ,0.0018, ,1e-04, ,0.1093,
 ,0.0017, ,1e-04, ,0.1158,
 ,0.0021, ,1e-04, ,0.1069,
 ,0.0016, ,1e-04, ,0.1006,
 ,0.0017, ,1e-04, ,0.1097,
 ,0.0019, ,1e-04, ,0.1147,
 ,0.0021, ,1e-04, ,0.1094,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0018, ,1e-04, ,0.0988,
 ,0.0018, ,1e-04, ,0.1085,
 ,0.0022, ,1e-04, ,0.1008,
 ,0.0017, ,1e-04, ,0.1004,
 ,0.0018, ,1e-04, ,0.1175,
 ,0.0018, ,1e-04, ,0.1022,
